"","text","machine","minutes","seconds","total"
"1","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"2","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"3","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"4","Request completed in 0.0m 0.18s","simulator",0,0.18,0.18
"5","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"6","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"7","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"8","Request completed in 0.0m 0.25s","simulator",0,0.25,0.25
"9","^[[ARequest completed in 0.0m 0.18s","simulator",0,0.18,0.18
"10","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"11","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"12","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"13","Request completed in 0.0m 0.18s","simulator",0,0.18,0.18
"14","Request completed in 0.0m 0.18s","simulator",0,0.18,0.18
"15","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"16","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"17","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"18","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
"19","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"20","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"21","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"22","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"23","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"24","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"25","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"26","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"27","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
"28","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"29","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"30","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"31","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
"32","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"33","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"34","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"35","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"36","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"37","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"38","Request completed in 0.0m 0.06s","simulator",0,0.06,0.06
"39","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
"40","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"41","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"42","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"43","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"44","Request completed in 0.0m 0.18s","simulator",0,0.18,0.18
"45","Request completed in 0.0m 0.18s","simulator",0,0.18,0.18
"46","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"47","^[[ARequest completed in 0.0m 0.08s","simulator",0,0.08,0.08
"48","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"49","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"50","^[[ARequest completed in 0.0m 0.07s","simulator",0,0.07,0.07
"51","^[[ARequest completed in 0.0m 0.18s","simulator",0,0.18,0.18
"52","Request completed in 0.0m 0.18s","simulator",0,0.18,0.18
"53","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"54","Request completed in 0.0m 0.18s","simulator",0,0.18,0.18
"55","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"56","^[[ARequest completed in 0.0m 0.17s","simulator",0,0.17,0.17
"57","Request completed in 0.0m 0.18s","simulator",0,0.18,0.18
"58","Request completed in 0.0m 0.18s","simulator",0,0.18,0.18
"59","^[[ARequest completed in 0.0m 0.19s","simulator",0,0.19,0.19
"60","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"61","^[[ARequest completed in 0.0m 0.07s","simulator",0,0.07,0.07
"62","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"63","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"64","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"65","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"66","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"67","^[[ARequest completed in 0.0m 0.07s","simulator",0,0.07,0.07
"68","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"69","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"70","Request completed in 0.0m 0.06s","simulator",0,0.06,0.06
"71","Request completed in 0.0m 0.18s","simulator",0,0.18,0.18
"72","^[[ARequest completed in 0.0m 0.18s","simulator",0,0.18,0.18
"73","Request completed in 0.0m 0.18s","simulator",0,0.18,0.18
"74","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"75","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"76","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"77","Request completed in 0.0m 0.18s","simulator",0,0.18,0.18
"78","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"79","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"80","Request completed in 0.0m 0.18s","simulator",0,0.18,0.18
"81","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
"82","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"83","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"84","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"85","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"86","Request completed in 0.0m 0.25s","simulator",0,0.25,0.25
"87","Request completed in 0.0m 0.15s","simulator",0,0.15,0.15
"88","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"89","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"90","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"91","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"92","Request completed in 0.0m 0.21s","simulator",0,0.21,0.21
"93","Request completed in 0.0m 0.21s","simulator",0,0.21,0.21
"94","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"95","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
"96","Request completed in 0.0m 0.09s","simulator",0,0.09,0.09
"97","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"98","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"99","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
"100","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"101","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"102","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"103","Request completed in 0.0m 0.18s","simulator",0,0.18,0.18
"104","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
"105","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"106","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"107","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"108","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"109","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"110","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"111","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"112","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"113","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"114","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"115","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"116","Request completed in 0.0m 0.11s","simulator",0,0.11,0.11
"117","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"118","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"119","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"120","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"121","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"122","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"123","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"124","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"125","Request completed in 0.0m 0.09s","simulator",0,0.09,0.09
"126","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"127","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
"128","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"129","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"130","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"131","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"132","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"133","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"134","Request completed in 0.0m 0.12s","simulator",0,0.12,0.12
"135","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
"136","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"137","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"138","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"139","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"140","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
"141","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"142","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"143","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"144","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"145","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
"146","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"147","Request completed in 0.0m 0.1s","simulator",0,0.1,0.1
"148","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"149","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"150","Request completed in 0.0m 0.09s","simulator",0,0.09,0.09
"151","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"152","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
"153","Request completed in 0.0m 0.24s","simulator",0,0.24,0.24
"154","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
"155","Request completed in 0.0m 0.15s","simulator",0,0.15,0.15
"156","Request completed in 0.0m 0.09s","simulator",0,0.09,0.09
"157","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
"158","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
"159","Request completed in 0.0m 0.22s","simulator",0,0.22,0.22
"160","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"161","Request completed in 0.0m 0.09s","simulator",0,0.09,0.09
"162","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"163","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"164","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"165","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"166","Request completed in 0.0m 0.21s","simulator",0,0.21,0.21
"167","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
"168","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"169","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"170","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"171","Request completed in 0.0m 0.19s","simulator",0,0.19,0.19
"172","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"173","Request completed in 0.0m 0.08s","simulator",0,0.08,0.08
"174","Request completed in 0.0m 0.07s","simulator",0,0.07,0.07
"175","Request completed in 0.0m 0.2s","simulator",0,0.2,0.2
